cod_cliente,data_cadastro,data_primeira_compra,uf,cidade
16,20070611,20080213,0,0
48,20070619,20080222,0,0
160,20070619,20080702,0,1
272,20070619,20120615,0,2
288,20070619,20100812,0,0
320,20070619,20081001,0,3
352,20070619,20071011,0,0
368,20070619,20080306,0,0
5472,19970909,20071029,1,4
5584,20040813,20070814,0,0
5600,20040813,20070925,0,0
5856,20040813,20070910,0,0
5872,20040813,20070821,0,0
5936,20040813,20070814,0,0
5952,20040813,20070814,0,0
5968,20040813,20070817,0,0
6016,20040813,20070910,0,0
6032,20040813,20070820,0,0
6048,20040813,20070913,0,0
6128,20040813,20070815,0,5
6144,20040701,20070829,0,0
6176,20040813,20071023,0,2
6192,20040813,20070924,0,2
6288,20040813,20070926,0,3
6304,20040813,20070821,0,0
6352,20040813,20070810,0,6
6400,20040813,20070815,0,3
6432,20040813,20070815,0,3
6448,20040813,20070808,0,3
6464,20040813,20070808,0,3
6480,20040813,20070815,0,3
6800,20040813,20070910,0,7
6816,20040813,20070910,0,7
6832,20040813,20070815,0,8
6864,20040813,20070912,0,8
6896,20040813,20070822,0,8
7008,20040813,20070912,0,0
7104,20040813,20070810,0,0
7456,20040813,20070905,0,0
7488,20040813,20070905,0,0
7504,20040813,20080507,0,0
7584,20020626,20071015,0,9
7632,20040813,20070824,0,0
7648,20040813,20071003,0,0
7696,20040813,20070917,0,0
7728,20040813,20070904,0,0
7744,20040813,20070817,0,0
7760,20040813,20070817,0,0
7792,20040813,20070809,0,0
7920,20040813,20070820,0,0
7952,20040813,20070905,0,0
7984,20020709,20070814,0,0
8000,20020711,20070822,0,0
8016,20040813,20070809,0,0
8096,20040813,20070824,0,0
8240,20020717,20071002,0,10
8304,20040813,20070830,0,0
8320,20040813,20070808,0,0
8336,20040813,20070813,0,0
8480,20040813,20070816,0,11
8576,20040813,20070816,0,11
8720,20040813,20070911,0,9
8816,20040813,20070816,0,9
8832,20040813,20070822,0,12
8848,20040813,20070808,0,12
8928,20040813,20070822,0,12
8976,20040813,20070810,0,13
8992,20040813,20071008,0,13
9088,20040813,20070815,0,5
9136,20040813,20070913,0,5
9264,20040813,20070813,0,2
9344,20040813,20070813,0,2
9376,20040813,20071005,0,2
9744,20040813,20070906,0,0
9840,20040813,20071005,0,0
9984,20040813,20070906,0,0
10064,20040813,20070914,0,0
10112,20040813,20070822,0,0
10160,20040813,20070830,0,0
10288,20040813,20070814,0,0
10320,20040813,20071009,0,0
10448,20040813,20140314,0,0
10496,20040813,20070830,0,0
10640,20040813,20070816,0,0
10784,20040813,20070814,0,0
10896,20040813,20070910,0,13
10976,20040813,20070821,0,0
11024,20040813,20070822,0,0
11072,20040813,20070813,0,0
11168,20040813,20070817,0,0
11344,20040813,20070809,0,0
11392,20040813,20070813,0,0
11408,20040813,20070814,0,0
11424,20040813,20070830,0,0
11440,20040813,20070822,0,0
11504,20040813,20070906,0,0
11680,20040813,20070817,0,0
11712,20040813,20070905,0,3
11792,20040813,20070813,0,2
11824,20040813,20070823,0,11
11904,20040813,20100720,0,0
12064,20040813,20070914,0,0
12304,20040813,20070813,0,2
12336,20040813,20070822,0,0
12384,20040813,20070912,0,0
12432,20040813,20071019,0,0
12528,20040813,20070917,0,0
12576,20040813,20070910,0,2
12768,20040813,20070828,0,0
12816,20040813,20070910,0,2
12880,20040813,20080606,0,0
12992,20040813,20071017,0,3
13008,20040813,20070815,0,3
13184,20040813,20070813,0,2
13264,20040813,20080221,0,0
13376,20040813,20070828,0,0
13680,20040813,20071005,0,2
13728,20040813,20070910,0,2
13744,20040813,20070813,0,2
13840,20040813,20071009,0,6
13856,20040813,20070810,0,6
13904,20040813,20070810,0,6
13920,20040813,20070810,0,6
14176,19970912,20070815,0,0
14224,19970918,20070816,0,9
14320,19970918,20070910,0,7
14368,19970919,20070824,0,0
14400,19970925,20071029,0,13
14448,19971001,20070816,0,11
14624,19971014,20080717,0,0
14704,19971015,20070821,0,0
14752,19971016,20070809,0,0
14944,19971027,20070806,0,0
15088,19971030,20070810,0,6
15168,19971106,20070918,0,0
15216,19971111,20071128,0,0
15248,19971112,20070831,0,0
15360,19971120,20070820,0,2
15488,19971126,20070808,0,3
15712,19980109,20070817,0,0
16080,19980318,20070810,0,6
16256,19980423,20070817,0,0
16272,19980423,20071029,0,2
16544,19980508,20070823,0,14
16576,19980508,20070823,0,14
16592,19980508,20070809,0,14
16768,19980513,20070808,0,3
17040,19980521,20070808,0,3
17184,19980525,20070829,0,3
17328,19980529,20070829,0,3
17584,19980608,20070809,0,15
17616,19980608,20080124,0,15
17648,19980608,20070906,0,15
17744,19980608,20070823,0,14
17888,19980619,20070905,0,3
17904,19980619,20120704,0,3
17936,19980619,20070924,0,3
17984,19980626,20070905,0,3
18048,19980626,20101124,0,3
18112,19980708,20070809,0,15
18160,19980708,20071004,0,16
18432,19980730,20070813,0,2
18448,19980730,20070829,0,0
18480,19980731,20070927,0,0
18512,19980805,20100730,0,0
18528,19980805,20091210,0,9
18576,19980807,20070906,0,15
18880,19980930,20070823,0,15
18912,19981002,20070829,0,9
19024,19981022,20070829,0,9
19232,19981123,20070831,0,5
19248,19981125,20070809,0,14
19344,19981229,20070815,0,3
19424,19990114,20070820,0,2
19520,20020723,20071005,0,0
19920,19990319,20071127,0,3
20176,19990414,20070809,0,15
20368,19990520,20070903,0,2
20384,19990525,20070830,0,10
20400,19990525,20070912,0,0
20736,19990914,20070809,0,15
