cod_client,cod_product,date_sales,qty_product,sale_value
76320,3516,20180302,64.0,167776
76320,17164,20180302,160.0,78176
76320,21848,20180302,16.0,232.96
124272,23132,20180102,1600.0,107296
124272,23124,20180102,320.0,111776
124272,14632,20180102,192.0,190176
124272,14628,20180102,192.0,181.44
124272,18116,20180102,176.0,392.0
124272,14696,20180102,64.0,311.36
124272,14476,20180102,192.0,111776
124272,14568,20180102,192.0,75936
124272,14532,20180102,192.0,78176
124272,14600,20180102,352.0,170016
124272,14656,20180102,64.0,356.16
124272,14552,20180102,384.0,44576
124272,14548,20180102,384.0,44576
61344,23584,20180110,288.0,51.52
61344,17932,20180110,32.0,156576
61344,11732,20180110,32.0,156576
61344,15108,20180110,16.0,156576
61344,12900,20180110,16.0,156576
61344,12928,20180110,16.0,156576
7792,23064,20180110,192.0,132.16
7792,3652,20180110,384.0,78176
7792,23588,20180110,256.0,51.52
112208,11564,20180110,96.0,92.96
112208,3652,20180110,192.0,78176
80432,17636,20180110,16.0,736.96
123712,23144,20180110,256.0,60256
123712,23176,20180110,256.0,75.04
24304,23124,20180110,64.0,111776
24304,23740,20180110,64.0,118496
24304,3520,20180110,192.0,43008
13008,23588,20180110,512.0,51.52
13008,23592,20180110,512.0,51.52
13008,23612,20180110,800.0,42336
13008,23708,20180110,160.0,66976
13008,23712,20180110,160.0,66976
86320,23064,20180110,48.0,132.16
86320,23612,20180110,240.0,42336
86320,23144,20180110,256.0,60256
86320,23160,20180110,256.0,89376
110832,4544,20180110,384.0,28896
110832,9752,20180110,384.0,33376
110832,3428,20180110,384.0,33376
110832,3640,20180110,384.0,66976
110832,23588,20180110,256.0,51.52
110832,23592,20180110,256.0,51.52
110832,23132,20180110,160.0,111776
110832,23124,20180110,96.0,111776
110832,23144,20180110,256.0,60256
110832,23148,20180110,256.0,102816
17888,23160,20180110,512.0,84.89824
17888,14704,20180110,16.0,254.24
17888,14576,20180110,640.0,44576
17888,14628,20180110,192.0,181.44
17888,23612,20180110,800.0,42336
117248,5316,20180110,96.0,66976
117248,23160,20180110,256.0,89376
117248,23164,20180110,128.0,268576
63808,21892,20180110,96.0,133.28
63808,21888,20180110,96.0,184.8
57600,23132,20180110,320.0,111776
83616,21996,20180110,96.0,87136
83616,21964,20180110,96.0,87136
45056,4876,20180110,192.0,122304
45056,5324,20180110,384.0,76608
45056,5328,20180110,384.0,77728
57632,23064,20180110,192.0,132.16
57632,23592,20180110,256.0,51.52
57632,23304,20180110,320.0,58016
57632,23380,20180110,320.0,58016
57632,23556,20180110,320.0,58016
57632,11112,20180110,16.0,149856
88128,23132,20180110,96.0,111776
88128,23716,20180110,96.0,66976
88128,21892,20180110,32.0,133.28
56288,23708,20180110,96.0,66976
56288,23712,20180110,96.0,66976
56288,23596,20180110,256.0,51.52
56288,23588,20180110,256.0,51.52
56288,23584,20180110,288.0,51.52
56288,23600,20180110,288.0,51.52
56288,23312,20180110,192.0,55776
56288,23316,20180110,192.0,55776
56288,23388,20180110,192.0,55776
56288,18176,20180110,64.0,140896
56288,14588,20180110,2880.0,22176
56288,23552,20180110,192.0,55776
56288,23744,20180110,96.0,111776
109008,14588,20180110,2880.0,22176
109008,16456,20180110,32.0,100576
109008,14576,20180110,960.0,44576
109008,22716,20180110,768.0,55776
109008,23420,20180110,192.0,66976
109008,23416,20180110,192.0,66976
109008,4612,20180110,192.0,145376
109008,4616,20180110,192.0,145376
109008,17564,20180110,16.0,1386.56
55168,14588,20180110,1440.0,22176
55168,23144,20180110,768.0,60256
55168,23152,20180110,288.0,268576
55168,23164,20180110,384.0,268576
55168,23168,20180110,256.0,181.44
55168,20272,20180110,48.0,209.44
55168,20252,20180110,64.0,209.44
55168,20248,20180110,64.0,209.44
55168,20268,20180110,48.0,209.44
55168,18304,20180110,96.0,142688
93760,5316,20180110,96.0,66976
93760,11564,20180110,96.0,92.96
93760,11144,20180110,96.0,89376
93760,4544,20180110,96.0,28896
93760,11644,20180110,160.0,15232
93760,11648,20180110,160.0,15232
93760,11652,20180110,160.0,15232
17984,23064,20180110,192.0,132.16
17984,5316,20180110,384.0,66976
11712,23748,20180110,3840.0,44576
41216,21940,20180111,64.0,252.0
41216,3640,20180111,96.0,66976
23616,3640,20180111,384.0,66976
23616,3652,20180111,384.0,76608
23616,3660,20180111,384.0,76608
23616,5308,20180111,384.0,89376
23616,5324,20180111,384.0,76608
23616,21848,20180111,256.0,235.2
23616,10280,20180111,416.0,201376
23616,23124,20180111,160.0,111776
23616,23132,20180111,160.0,107296
23616,23740,20180111,160.0,118496
23616,3628,20180111,384.0,96992
23616,3632,20180111,384.0,76608
64032,23584,20180111,288.0,51.52
64032,23132,20180111,320.0,107296
64032,5316,20180111,384.0,66976
64032,5308,20180111,384.0,89376
64032,10120,20180111,192.0,111776
64032,3640,20180111,384.0,66976
64032,3652,20180111,384.0,76608
64032,3632,20180111,384.0,76608
6128,5308,20180111,384.0,89376
6128,5324,20180111,384.0,76608
6128,3652,20180111,768.0,76608
6128,3660,20180111,768.0,76608
42304,3660,20180111,192.0,76608
66480,4544,20180111,384.0,28896
66480,3652,20180111,96.0,76608
66480,3628,20180111,96.0,96992
66480,3632,20180111,96.0,76608
40752,3428,20180111,192.0,33376
40752,23160,20180111,256.0,89376
40752,23144,20180111,256.0,60256
40752,5316,20180111,96.0,66976
40752,14572,20180111,96.0,13216
40752,21996,20180111,48.0,87136
124416,3644,20180111,96.0,38528
124416,14628,20180111,96.0,181.44
124416,12884,20180111,16.0,156576
124416,12932,20180111,16.0,156576
124416,12316,20180111,16.0,156576
16256,3628,20180112,384.0,96992
106160,23584,20180112,288.0,51.52
106160,21848,20180112,16.0,235.2
106160,23692,20180112,64.0,111776
63696,4544,20180112,96.0,28896
63696,23160,20180112,256.0,89376
63696,14544,20180112,32.0,102816
63696,18228,20180112,32.0,40096
63696,14532,20180112,32.0,78176
64480,23584,20180112,288.0,51.52
64480,23588,20180112,256.0,51.52
64480,23244,20180112,96.0,20.16
64480,23272,20180112,96.0,22176
64480,11652,20180112,160.0,15232
64480,11648,20180112,160.0,15232
64480,11644,20180112,160.0,15232
64480,23132,20180112,96.0,107296
64480,5316,20180112,96.0,66976
64480,23064,20180112,96.0,132.16
64480,23748,20180112,96.0,44576
64480,14700,20180112,96.0,170016
64480,14704,20180112,96.0,254.24
121552,4612,20180112,64.0,145376
121552,11568,20180112,96.0,78.4
121552,11144,20180112,96.0,89376
121552,11564,20180112,96.0,92.96
121552,3520,20180112,192.0,43008
58000,20,20180112,96.0,35616
58000,5316,20180112,64.0,66976
58000,3640,20180112,96.0,66976
58000,22016,20180112,48.0,136416
21808,22020,20180112,192.0,201376
21808,22012,20180112,192.0,293.44
21808,21848,20180112,256.0,235.2
21808,10120,20180112,192.0,111776
87792,4544,20180112,384.0,28896
87792,17636,20180112,16.0,736.96
